pID,UTC,Prd,PrdNorm,Irr
Ortona,2024-02-20 18:00:00+00:00,0.0,0.0,0.36066666666666664
Ortona,2024-02-20 19:00:00+00:00,0.0,0.0,0.3421666666666666
Ortona,2024-02-20 20:00:00+00:00,0.0,0.0,0.3324999999999999
Ortona,2024-02-20 21:00:00+00:00,0.0,0.0,0.3153333333333333
Ortona,2024-02-20 22:00:00+00:00,0.0,0.0,0.30716666666666653
Ortona,2024-02-20 23:00:00+00:00,0.0,0.0,0.676
Ortona,2024-02-21 00:00:00+00:00,0.0,0.0,0.29516666666666663
Ortona,2024-02-21 01:00:00+00:00,0.0,0.0,0.2919999999999999
Ortona,2024-02-21 02:00:00+00:00,0.0,0.0,0.29233333333333333
Ortona,2024-02-21 03:00:00+00:00,0.0,0.0,0.2913333333333333
Ortona,2024-02-21 04:00:00+00:00,0.0,0.0,0.2828333333333334
Ortona,2024-02-21 05:00:00+00:00,0.0,0.0,0.28883333333333316
Ortona,2024-02-21 06:00:00+00:00,1679.2858333332106,0.0007416823142989451,1.1261666666666663
Ortona,2024-02-21 07:00:00+00:00,79948.65583333325,0.03544593591843216,23.82333333333333
Ortona,2024-02-21 08:00:00+00:00,544193.3849999999,0.24120694740748236,267.842
Ortona,2024-02-21 09:00:00+00:00,1072321.2283333333,0.47507486409974187,652.875
Ortona,2024-02-21 10:00:00+00:00,1454444.3308333333,0.6444069838138333,805.1596666666666
Ortona,2024-02-21 11:00:00+00:00,1480911.3983333334,0.6562109653268028,812.6213333333333
Ortona,2024-02-21 12:00:00+00:00,1735123.8883333332,0.7690268687782167,977.4166666666667
Ortona,2024-02-21 13:00:00+00:00,1615627.9358333333,0.7161047984469331,906.5558333333332
Ortona,2024-02-21 14:00:00+00:00,1341860.0975,0.5949201707930768,752.929
Ortona,2024-02-21 15:00:00+00:00,942529.9008333333,0.41820036597375915,542.2063333333334
Ortona,2024-02-21 16:00:00+00:00,405737.47416666656,0.17997314457924937,276.04016666666666
Ortona,2024-02-21 17:00:00+00:00,33972.739999999896,0.01505288583938949,38.14549999999999
Ortona,2024-02-21 18:00:00+00:00,0.0,0.0,0.38916666666666655
Ortona,2024-02-21 19:00:00+00:00,0.0,0.0,0.37083333333333335
Ortona,2024-02-21 20:00:00+00:00,0.0,0.0,0.34983333333333344
Ortona,2024-02-21 21:00:00+00:00,0.0,0.0,0.33333333333333326
Ortona,2024-02-21 22:00:00+00:00,0.0,0.0,0.3241666666666666
Ortona,2024-02-21 23:00:00+00:00,0.0,0.0,0.38716666666666655
Ortona,2024-02-22 00:00:00+00:00,0.0,0.0,0.3161666666666666
Ortona,2024-02-22 01:00:00+00:00,0.0,0.0,0.30550000000000005
Ortona,2024-02-22 02:00:00+00:00,0.0,0.0,0.3006666666666665
Ortona,2024-02-22 03:00:00+00:00,0.0,0.0,0.35133333333333316
Ortona,2024-02-22 04:00:00+00:00,0.0,0.0,0.36650000000000005
Ortona,2024-02-22 05:00:00+00:00,0.0,0.0,0.29766666666666663
Ortona,2024-02-22 06:00:00+00:00,7207.958333333218,0.0031948789696522152,4.306833333333333
Ortona,2024-02-22 07:00:00+00:00,84312.54333333325,0.037418375665220355,29.982333333333337
Ortona,2024-02-22 08:00:00+00:00,512214.00583333324,0.2270139147833982,262.59216666666657
Ortona,2024-02-22 09:00:00+00:00,693054.74,0.3071369309057427,383.5723333333334
Ortona,2024-02-22 10:00:00+00:00,998589.2716666666,0.442511670701081,541.079
Ortona,2024-02-22 11:00:00+00:00,1424913.235,0.6315184368311836,771.2323333333334
Ortona,2024-02-22 12:00:00+00:00,1456103.6408333334,0.6454480742823959,806.3078333333331
Ortona,2024-02-22 13:00:00+00:00,826176.7108333333,0.3662630772308765,429.9335
Ortona,2024-02-22 14:00:00+00:00,731049.3266666667,0.32407248744707706,385.26283333333333
Ortona,2024-02-22 15:00:00+00:00,482860.26083333325,0.21404151039021188,251.4979999999999
Ortona,2024-02-22 16:00:00+00:00,81164.21083333324,0.03598693428207683,39.377833333333335
Ortona,2024-02-22 17:00:00+00:00,12165.824999999903,0.005393002497701461,6.362833333333333
Ortona,2024-02-22 18:00:00+00:00,0.0,0.0,0.4126666666666667
Ortona,2024-02-22 19:00:00+00:00,0.0,0.0,0.42733333333333323
Ortona,2024-02-22 20:00:00+00:00,0.0,0.0,0.4015000000000001
Ortona,2024-02-22 21:00:00+00:00,0.0,0.0,0.38416666666666666
Ortona,2024-02-22 22:00:00+00:00,0.0,0.0,0.37583333333333335
Ortona,2024-02-22 23:00:00+00:00,0.0,0.0,0.37233333333333335
Ortona,2024-02-23 00:00:00+00:00,0.0,0.0,0.3663333333333333
Ortona,2024-02-23 01:00:00+00:00,0.0,0.0,0.3759999999999998
Ortona,2024-02-23 02:00:00+00:00,0.0,0.0,0.3516666666666666
Ortona,2024-02-23 03:00:00+00:00,0.0,0.0,0.34983333333333333
Ortona,2024-02-23 04:00:00+00:00,0.0,0.0,0.34116666666666673
Ortona,2024-02-23 05:00:00+00:00,0.0,0.0,0.3685
Ortona,2024-02-23 06:00:00+00:00,26.376666666666665,1.173010453538737e-05,0.3365
Ortona,2024-02-23 07:00:00+00:00,25914.65166666656,0.011487015892278645,13.436833333333334
Ortona,2024-02-23 08:00:00+00:00,112776.05333333324,0.049973395994507966,55.86483333333333
Ortona,2024-02-23 09:00:00+00:00,234496.2216666666,0.10396088822181408,116.52866666666667
Ortona,2024-02-23 10:00:00+00:00,342335.1049999999,0.151788731620364,175.44783333333328
Ortona,2024-02-23 11:00:00+00:00,484355.84333333327,0.214854640012962,246.4911666666667
Ortona,2024-02-23 12:00:00+00:00,412617.78916666657,0.18305453913066075,215.07183333333333
Ortona,2024-02-23 13:00:00+00:00,687910.9716666667,0.3051934374952291,356.3668333333334
Ortona,2024-02-23 14:00:00+00:00,431634.03083333327,0.19135596723921638,231.329
Ortona,2024-02-23 15:00:00+00:00,517823.33833333326,0.22943738977523917,292.3140000000001
Ortona,2024-02-23 16:00:00+00:00,251236.53749999992,0.11145518256092173,144.42566666666664
Ortona,2024-02-23 17:00:00+00:00,43150.712499999885,0.019129702965526983,23.672666666666665
Ortona,2024-02-23 18:00:00+00:00,0.0,0.0,0.3815
Ortona,2024-02-23 19:00:00+00:00,0.0,0.0,0.37683333333333324
Ortona,2024-02-23 20:00:00+00:00,0.0,0.0,0.372
Ortona,2024-02-23 21:00:00+00:00,0.0,0.0,0.36883333333333324
Ortona,2024-02-23 22:00:00+00:00,0.0,0.0,0.3648333333333333
Ortona,2024-02-23 23:00:00+00:00,0.0,0.0,0.3466666666666667
Ortona,2024-02-24 00:00:00+00:00,0.0,0.0,0.5229999999999999
Ortona,2024-02-24 01:00:00+00:00,0.0,0.0,0.3378333333333333
Ortona,2024-02-24 02:00:00+00:00,0.0,0.0,0.33199999999999996
Ortona,2024-02-24 03:00:00+00:00,0.0,0.0,0.3313333333333333
Ortona,2024-02-24 04:00:00+00:00,0.0,0.0,0.32399999999999995
Ortona,2024-02-24 05:00:00+00:00,0.0,0.0,0.3276666666666666
Ortona,2024-02-24 06:00:00+00:00,159.9258333333188,7.086110203024269e-05,0.6086666666666666
Ortona,2024-02-24 07:00:00+00:00,29796.768333333224,0.01320957411236289,14.729333333333335
Ortona,2024-02-24 08:00:00+00:00,116072.17416666656,0.0514512802510377,54.30649999999999
Ortona,2024-02-24 09:00:00+00:00,320373.21333333326,0.14203993858014613,150.87133333333335
Ortona,2024-02-24 10:00:00+00:00,559604.9366666666,0.24808843690303267,273.07983333333334
Ortona,2024-02-24 11:00:00+00:00,780333.215,0.3458835644962551,400.1436666666667
Ortona,2024-02-24 12:00:00+00:00,1264514.1666666667,0.5593613923902709,717.6859999999999
Ortona,2024-02-24 13:00:00+00:00,1646894.9883333333,0.7303575387400232,895.0238333333333
Ortona,2024-02-24 14:00:00+00:00,1308283.5375,0.579950291244685,720.9533333333333
Ortona,2024-02-24 15:00:00+00:00,794088.5458333333,0.35217005757183595,440.1541666666668
Ortona,2024-02-24 16:00:00+00:00,382218.1033333333,0.16948453095223542,229.97616666666664
Ortona,2024-02-24 17:00:00+00:00,46423.157499999914,0.020590658526400664,30.78266666666666
Ortona,2024-02-24 18:00:00+00:00,0.0,0.0,0.3756666666666666
Ortona,2024-02-24 19:00:00+00:00,0.0,0.0,0.35949999999999993
Ortona,2024-02-24 20:00:00+00:00,0.0,0.0,0.3416666666666667
Ortona,2024-02-24 21:00:00+00:00,0.0,0.0,0.33033333333333326
Ortona,2024-02-24 22:00:00+00:00,0.0,0.0,0.3298333333333333
Ortona,2024-02-24 23:00:00+00:00,0.0,0.0,0.32133333333333336
Ortona,2024-02-25 00:00:00+00:00,0.0,0.0,0.31449999999999995
Ortona,2024-02-25 01:00:00+00:00,0.0,0.0,0.31333333333333335
Ortona,2024-02-25 02:00:00+00:00,0.0,0.0,0.3075
Ortona,2024-02-25 03:00:00+00:00,0.0,0.0,0.3051666666666666
Ortona,2024-02-25 04:00:00+00:00,0.0,0.0,0.30649999999999994
Ortona,2024-02-25 05:00:00+00:00,0.0,0.0,0.30633333333333324
Ortona,2024-02-25 06:00:00+00:00,1357.678333333212,0.000598837328715065,1.1178333333333332
Ortona,2024-02-25 07:00:00+00:00,69808.97833333322,0.030955132608682916,34.993833333333335
Ortona,2024-02-25 08:00:00+00:00,234690.54749999993,0.10406069035134033,117.3285
Ortona,2024-02-25 09:00:00+00:00,348587.7933333333,0.15457203943230352,170.04933333333335
Ortona,2024-02-25 10:00:00+00:00,434997.46916666656,0.19288584786489762,205.83333333333334
Ortona,2024-02-25 11:00:00+00:00,963171.2033333333,0.4270380577010936,476.09100000000007
Ortona,2024-02-25 12:00:00+00:00,688805.4491666666,0.30539088503926154,336.3405000000001
Ortona,2024-02-25 13:00:00+00:00,1160669.0483333333,0.5147271750539983,595.3464999999999
Ortona,2024-02-25 14:00:00+00:00,1207750.5058333334,0.5355384643789863,665.0271666666666
Ortona,2024-02-25 15:00:00+00:00,918562.6041666666,0.4074125422001001,511.43966666666677
Ortona,2024-02-25 16:00:00+00:00,337091.4949999999,0.14948658300650491,202.45049999999998
Ortona,2024-02-25 17:00:00+00:00,25308.709166666566,0.011219817663431147,14.772499999999999
Ortona,2024-02-25 18:00:00+00:00,0.0,0.0,0.35566666666666646
Ortona,2024-02-25 19:00:00+00:00,0.0,0.0,0.3438333333333334
Ortona,2024-02-25 20:00:00+00:00,0.0,0.0,0.32950000000000007
Ortona,2024-02-25 21:00:00+00:00,0.0,0.0,0.32216666666666666
Ortona,2024-02-25 22:00:00+00:00,0.0,0.0,0.31133333333333335
Ortona,2024-02-25 23:00:00+00:00,0.0,0.0,0.30433333333333323
Ortona,2024-02-26 00:00:00+00:00,0.0,0.0,0.2991666666666665
Ortona,2024-02-26 01:00:00+00:00,0.0,0.0,0.295
Ortona,2024-02-26 02:00:00+00:00,0.0,0.0,0.2876666666666666
Ortona,2024-02-26 03:00:00+00:00,0.0,0.0,0.2921666666666666
Ortona,2024-02-26 04:00:00+00:00,0.0,0.0,0.28666666666666674
Ortona,2024-02-26 05:00:00+00:00,0.0,0.0,0.2995
Ortona,2024-02-26 06:00:00+00:00,5691.106666666595,0.0025230845282682704,2.7100000000000004
Ortona,2024-02-26 07:00:00+00:00,143004.2899999999,0.06342493023739576,38.42866666666667
Ortona,2024-02-26 08:00:00+00:00,620673.8424999999,0.27500478376928494,313.51633333333325
Ortona,2024-02-26 09:00:00+00:00,1133710.6608333334,0.5020614584174479,655.6759999999999
Ortona,2024-02-26 10:00:00+00:00,1556336.3583333334,0.6898154524149228,833.0875
Ortona,2024-02-26 11:00:00+00:00,1191269.3208333333,0.5280904004731923,608.1791666666667
Ortona,2024-02-26 12:00:00+00:00,977056.9083333333,0.4332970387953301,488.53533333333337
Ortona,2024-02-26 13:00:00+00:00,512546.15416666656,0.22726466247751853,247.15733333333338
Ortona,2024-02-26 14:00:00+00:00,484706.19833333325,0.21492270673872596,231.40350000000004
Ortona,2024-02-26 15:00:00+00:00,256881.7433333332,0.11390009156902772,117.98116666666662
Ortona,2024-02-26 16:00:00+00:00,125982.25833333323,0.05585414398532099,59.04583333333333
Ortona,2024-02-26 17:00:00+00:00,12230.28999999991,0.00542093852060486,6.3805
Ortona,2024-02-26 18:00:00+00:00,0.0,0.0,0.36616666666666664
Ortona,2024-02-26 19:00:00+00:00,0.0,0.0,0.3579999999999998
Ortona,2024-02-26 20:00:00+00:00,0.0,0.0,0.35183333333333333
Ortona,2024-02-26 21:00:00+00:00,0.0,0.0,0.34266666666666656
Ortona,2024-02-26 22:00:00+00:00,0.0,0.0,0.3710000000000001
Ortona,2024-02-26 23:00:00+00:00,0.0,0.0,0.33100000000000007
Ortona,2024-02-27 00:00:00+00:00,0.0,0.0,0.33383333333333337
Ortona,2024-02-27 01:00:00+00:00,0.0,0.0,0.3473333333333333
Ortona,2024-02-27 02:00:00+00:00,0.0,0.0,0.3175
Ortona,2024-02-27 03:00:00+00:00,0.0,0.0,0.7186666666666668
Ortona,2024-02-27 04:00:00+00:00,0.0,0.0,0.3118333333333333
Ortona,2024-02-27 05:00:00+00:00,0.0,0.0,0.4979999999999999
Ortona,2024-02-27 06:00:00+00:00,2235.5158333332042,0.00098577513176819,1.6468333333333334
Ortona,2024-02-27 07:00:00+00:00,59298.835833333214,0.02631230565867666,32.76149999999999
Ortona,2024-02-27 08:00:00+00:00,209966.31666666656,0.09308869865984841,108.1746666666667
Ortona,2024-02-27 09:00:00+00:00,424202.2774999999,0.18807981086198308,216.17249999999999
Ortona,2024-02-27 10:00:00+00:00,1155691.5116666667,0.5122224129973895,603.7160000000001
Ortona,2024-02-27 11:00:00+00:00,1269897.5858333334,0.5630998875224345,663.5064999999998
Ortona,2024-02-27 12:00:00+00:00,1629936.7808333333,0.7229676866082804,880.6119999999999
Ortona,2024-02-27 13:00:00+00:00,1076732.6583333332,0.47765504927724034,568.3301666666667
Ortona,2024-02-27 14:00:00+00:00,997447.0258333333,0.4423634356354422,535.8418333333334
Ortona,2024-02-27 15:00:00+00:00,405485.7966666666,0.17978535170369975,220.63050000000004
Ortona,2024-02-27 16:00:00+00:00,188151.76333333325,0.08343198218668849,105.46583333333334
Ortona,2024-02-27 17:00:00+00:00,30461.19916666655,0.013506652856084619,16.273000000000003
Ortona,2024-02-27 18:00:00+00:00,0.20249999999999999,8.67720265290625e-08,0.4375
Ortona,2024-02-27 19:00:00+00:00,0.0,0.0,0.41866666666666663
Ortona,2024-02-27 20:00:00+00:00,0.0,0.0,0.4101666666666667
Ortona,2024-02-27 21:00:00+00:00,0.0,0.0,0.4023333333333333
Ortona,2024-02-27 22:00:00+00:00,0.0,0.0,0.39483333333333337
Ortona,2024-02-27 23:00:00+00:00,0.0,0.0,0.38783333333333325
Ortona,2024-02-28 00:00:00+00:00,0.0,0.0,0.3823333333333333
Ortona,2024-02-28 01:00:00+00:00,0.0,0.0,0.37816666666666676
Ortona,2024-02-28 02:00:00+00:00,0.0,0.0,0.36950000000000005
Ortona,2024-02-28 03:00:00+00:00,0.0,0.0,0.36133333333333334
Ortona,2024-02-28 04:00:00+00:00,0.0,0.0,0.35333333333333333
Ortona,2024-02-28 05:00:00+00:00,0.0,0.0,0.3514999999999999
Ortona,2024-02-28 06:00:00+00:00,252.25416666660215,0.00011053005839171911,1.1116666666666668
Ortona,2024-02-28 07:00:00+00:00,70858.9374999999,0.03141183729150946,36.46500000000001
